微博id,微博正文,发布时间,点赞数,转发数,评论数,热度值,关键短语
JxWeI9Czh,【爱豆喊你来助力#北京2022# 】北京冬奥会雪上项目介绍集锦（上）（按项目排序）：高山滑雪@杨紫，自由式滑雪@刘昊然turbo，单板滑雪@UNIQ-王一博，跳台滑雪@华晨宇yu，越野滑雪@X玖少年团肖战DAYTOY 北京2022年冬奥会的微博视频  ,12/11/2020,6036866,639192,85604,38.21090804,北京冬奥会#SPLIT#介绍集锦#SPLIT#冬奥会雪上#SPLIT#单板滑雪#SPLIT#少年团肖战
LlzGHrFzw,【#MU5735遇难者头七祭#】愿逝者安息，悲剧不再。#为MU5735遇难同胞默哀#  人民日报的微博视频  ,3/27/2022,1172177,394458,88484,36.95834003,同胞默哀#SPLIT#愿逝者#SPLIT#祭愿#SPLIT#逝者安息#SPLIT#遇难同胞
LlyXdeYnS,【指挥部确认#MU5735航班上人员已全部遇难#】经过6天全力搜救，“3·21”东航MU5735航空器飞行事故国家应急处置指挥部26日晚确认，东方航空公司MU5735航班上人员已全部遇难。#为MU5735遇难同胞默哀#  原图 ,3/26/2022,2961470,6528334,483284,42.77480355,航班人员#SPLIT#东方航空公司航班#SPLIT#东航航空器#SPLIT#全力搜救#SPLIT#同胞默哀
LgjAf6qgB,【终于等到你！#一百万只冰墩墩到货#】冬奥会开幕以来，冰墩墩圈粉无数，加上其他冰雪用品热销，全民冬奥热情不减，这届冬奥“带货”能力实强。数据显示，近半个月超1亿人涌入天猫奥林匹克官方旗舰店准点蹲守冰墩墩，但通常是一秒售罄，网友每天在线求官方补货。而今，#冰墩墩吨吨吨式补货#。2月20日，100万只冰墩墩将在官方旗舰店集中发售，从早上10点至晚上9点，每个整点都可抢。网友：总算赶在冬奥闭幕前实现“一户一墩”了！ http://t.cn/A665ondp [组图共3张] 原图 ,2/20/2022,347349,292317,100278,36.238209,官方旗舰店#SPLIT#冰墩墩#SPLIT#墩墩#SPLIT#冰墩#SPLIT#全民冬奥
Ks39w4mPQ,【再添一金！#全红婵跳水10米台夺金#】今天，东京奥运会跳水女子单人10米台决赛，#东京奥运中国队已9次包揽金银#！@全红婵 夺金，@陈乐乐Diving #陈芋汐女子10米台摘银#！祝贺跳水梦之队！  [组图共2张] 原图 ,8/5/2021,1640519,205930,71780,36.162621,中国队包揽#SPLIT#全红婵跳水#SPLIT#奥运中国队#SPLIT#奥运会跳水#SPLIT#女子米台摘
KrtDsixHN,【快讯：#苏炳添男子百米第6#】东京奥运会#男子百米大战#中，@苏炳添 获第6的成绩！此前，苏炳添9秒83晋级百米决赛，成为首位闯入奥运会男子百米决赛的中国运动员。加油飞人！#苏炳添创造历史#  原图 ,8/1/2021,2668765,229098,85931,36.78244023,奥运会男子#SPLIT#加油飞人#SPLIT#快讯苏炳添#SPLIT#苏炳添创造#SPLIT#苏炳添晋级
KqZPvaXTH,【不容易！#马龙晋级男单决赛#！】东京奥运会男单半决赛，马龙4-3战胜奥恰洛夫，晋级决赛。至此，#马龙樊振东会师男单决赛#。#国乒锁定男女单打金银牌#！祝贺@captain龙 ！祝贺国乒！  [组图共4张] 原图 ,7/29/2021,1594345,157062,69329,35.82533886,男单决赛#SPLIT#会师男单#SPLIT#单打金银牌#SPLIT#国乒锁定#SPLIT#奥运会男单
KqXIZ4FmD,【#孙颖莎4比0战胜伊藤美诚#！恭喜国乒】在刚刚结束的东京奥运会女子单打半决赛中，中国选手@孙颖莎 4比0战胜日本选手伊藤美诚，晋级决赛。网友：#孙颖莎小魔王大心脏#太牛了！#国乒锁定奥运女单金银牌#！  [组图共9张] 原图 ,7/29/2021,6063392,595470,260986,39.81433683,伊藤美诚#SPLIT#孙颖莎#SPLIT#国乒刚刚#SPLIT#国乒锁定#SPLIT#奥运女单
KqMsU5T47,【#唐山大地震45周年祭#】1976年7月28日，一场7.8级的强震，让24.2万同胞遇难。45年了，时间会慢慢抚平伤痛，却抚不去思念与记忆。于逆境中奋起，在艰难中重生，中国人刻下大写的“坚韧”。今天，再一次缅怀逝者，致敬重生。愿山河无恙，人间皆安！  [组图共9张] 原图 ,7/28/2021,151213,9712944,21347,37.00526576,再一缅怀#SPLIT#刻下大写#SPLIT#同胞遇难#SPLIT#唐山大地震#SPLIT#大写坚韧
KqzoCgta7,【许昕刘诗雯获混双银牌 网友：#无论结果你们都是中国骄傲#】#每一块奖牌都来之不易#，恭喜@许昕 、@刘诗雯Sunny ，好好调整，全力以赴，接下来的比赛继续加油！#乒乓球混双决赛#  人民日报的微博视频  ,7/26/2021,1451561,419859,66890,36.70798155,一块奖牌#SPLIT#乒乓球混双#SPLIT#刘诗雯获#SPLIT#奖牌来之不易#SPLIT#恭喜许昕
KqzgF5YR4,【#许昕刘诗雯获混双银牌#】今天，东京奥运会#乒乓球混双决赛#，许昕/刘诗雯3-4不敌日本组合水谷隼/伊藤美诚，获得银牌。  原图 ,7/26/2021,4838270,212544,209308,38.34029336,许昕刘诗雯#SPLIT#乒乓球混双#SPLIT#伊藤美诚#SPLIT#刘诗雯不敌#SPLIT#刘诗雯获
KqdHPDIaG,#侯志慧创造举重奥运会纪录# 【太稳了！#侯志慧夺下第二金#】刚刚，东京奥运会#女子举重49公斤级#决赛中，中国选手侯志慧为中国队拿下第二枚金牌！转发祝贺！  原图 ,7/24/2021,2118774,234048,73644,36.4569774,举重决赛#SPLIT#举重奥运会#SPLIT#侯志慧中国队#SPLIT#侯志慧创造#SPLIT#侯志慧夺下
Kqcevbj2V,【#东京奥运第一首国歌是中国的# 】#中国国歌响彻东京奥运#！加油，中国健儿！  #杨倩摘得东京奥运首金#人民日报的微博视频  ,7/24/2021,1529194,1624769,45711,37.51617702,东京奥运#SPLIT#中国国歌响彻#SPLIT#响彻东京#SPLIT#奥运国歌#SPLIT#奥运首金
Kqc5r6suO,【转发祝贺！#杨倩摘得东京奥运首金#】在刚刚结束的东京奥运会女子10米气步枪决赛上，中国“00”后小将、来自清华大学的杨倩不负众望一举夺冠，拿下东京奥运会首金。#拿下首金的杨倩是00后#，厉害，祝贺！@杨大妞YYY  原图 ,7/24/2021,4405705,996028,134028,39.1694544,东京奥运会#SPLIT#一举夺冠#SPLIT#不负众望一举#SPLIT#奥运首金#SPLIT#奥运会首金
Kq6Vg1zcr,【#中国代表团入场高清大图#来了！】中国红，yyds!  #中国代表团登场#  [组图共9张] 原图 ,7/23/2021,1554616,264555,78582,36.52204412,中国代表团入场#SPLIT#中国代表团登场#SPLIT#入场高清#SPLIT#高清大图#SPLIT#组图
KgExVrTbm,【双星陨落！#共和国一天痛失两位院士#】5月22日13时02分，“中国肝胆外科之父”吴孟超逝世，享年99岁。5月22日13时07分，“杂交水稻之父”袁隆平逝世，享年91岁。#愿世间如你们所愿医食无忧#，送别！  原图 ,5/22/2021,3487196,1135180,150956,39.36173254,世间所愿#SPLIT#之父吴孟超#SPLIT#之父袁隆平#SPLIT#共和国痛失#SPLIT#双星陨落
KgDsWEnTc,【#袁隆平院士逝世#】“杂交水稻之父”、中国工程院院士、“共和国勋章”获得者袁隆平，5月22日13点07分在湖南长沙逝世，享年91岁。袁老，走好！  原图 ,5/22/2021,1253086,2953043,190866,40.15790559,中国工程院院士#SPLIT#之父中国工程院#SPLIT#共和国勋章#SPLIT#分在湖南#SPLIT#勋章获得者
KfdRiD4Em,【#监控还原成都49中学生坠亡前轨迹#】5月9日傍晚，在成都49中就读的高二学生小林（化名）坠楼身亡。根据成都成华警方的有关通报，小林系高坠死亡，排除刑事案件。5月13日，根据警方提供的学校监控设备拍摄到的内容以及通报信息，视频还原小林走出教室后，到坠亡之间的活动轨迹。（川观新闻）  http://t.cn/A6VwXbQT ,5/13/2021,2567598,107102,118160,36.48049223,中学生坠亡#SPLIT#学生小林#SPLIT#小林化名#SPLIT#小林系#SPLIT#小林走出
Kf4LnprdE,#汶川地震13周年#【13年了，你好吗？】“无论你在哪里，我都要找到你。”13年过去了，每当熟悉的旋律响起，我们总会想起那段记忆。生死不离，生生不息。汶川，我们永远不会忘记。#汶川记忆MV# #512# 人民日报的微博视频  ,5/12/2021,443432,1030140,32813,35.94427304,旋律响起#SPLIT#汶川地震#SPLIT#汶川记忆#SPLIT#生死不离#SPLIT#熟悉旋律
Kf1OjAC61,【#汶川地震13周年#，永不忘却的记忆】缅怀逝者，勇毅前行。  原图 ,5/12/2021,395235,12821110,52499,39.11307551,勇毅前行#SPLIT#忘却记忆#SPLIT#永不忘却#SPLIT#汶川地震#SPLIT#缅怀逝者
KdMOgd3ml,【为自己加油！因为，#我就是中国#】没有人可以永远年轻，我可以，因为年轻的心永远年轻。年轻是一往无前，直面一次又一次失败，再比失败多一次站起来。一代又一代的相信，才有今天的自信；不被世界改变，才能改变世界。我相信我可以成为我相信的样子，#我是什么样子中国就是什么样子#！一起加油！  http://t.cn/A6cBuu2x ,5/3/2021,282466,4762100,13190,35.88279311,永远年轻#SPLIT#年轻一往无前#SPLIT#才有自信#SPLIT#直面失败#SPLIT#没有人永远
K9dCk3rp3,【#你记得我我就活着#|#烈士的告白你听见了吗#】“无论你在哪，当风从耳边吹过，云从头顶飘过，那便是我来看你。看你过得比我当年想象的还要好，看这盛世如我所愿，这盛世里，有你有我。你记得我，我就活着。”缅怀英烈，更铭记他们为之流血牺牲的伟大理想。清明，送朵，致敬英烈！#为烈士寻亲#  http://t.cn/A6cUvqJj ,4/3/2021,1640193,17856715,94113,41.03144592,云从头顶#SPLIT#告白听见#SPLIT#头顶飘过#SPLIT#活着烈士#SPLIT#流血牺牲伟大
K7IpgaGqx,#我支持新疆棉花#  原图 ,3/24/2021,3029612,40539250,148648,42.8437686,新疆棉花#SPLIT#支持新疆
K6TIndVIN,#美国没资格居高临下同中国说话#，#中国人不吃这一套#！#中美高层战略对话#  原图 ,3/19/2021,1517270,521455,58508,36.74599592,中国不吃#SPLIT#资格居高临下#SPLIT#中美高层#SPLIT#居高临下中国#SPLIT#高层战略
K5F4yB4Lm,【#2021励志大片#丨#中国再出发#】此时，960多万平方公里的土地上，生机翻涌。褪去寒冬的凛冽，我们奔赴向往的春天。出发，为了不曾改变的信仰，为了追逐梦想的渴望。正是每一个了不起的你，成为中国再出发的底气。@UNIQ-王一博 的旁白，是否说出了你的心声？准备好了吗？我们一起出发！ http://t.cn/A6tQhAiA ,3/11/2021,1018372,1447632,52076,37.39301678,中国再#SPLIT#大片丨#SPLIT#奔赴向往#SPLIT#寒冬凛冽#SPLIT#是否说出
Jyba9kMtF,【今天，转发微博，祭奠83年前的罹难同胞】1937年的今天，侵华日军攻占南京，30多万同胞惨遭血腥屠杀……第七个南京大屠杀死难者#国家公祭日#，我们以国家之名祭奠，为了国殇不再重演，为了和平与正义长存！勿忘历史，吾辈自强！#公祭日#  原图 ,12/13/2020,285099,4774677,51896,37.94465913,侵华日军攻占#SPLIT#公祭日#SPLIT#同胞惨遭#SPLIT#国殇不再#SPLIT#大屠杀死难者
Jn9wQdYEL,#我爱我的国 我爱我的家#【这首歌唱出属于你我的2020】“家是最小国，国是千万家”，这一年每个人对家与国都会有更深的理解。今天，《国家2020》温暖上线，用歌声唱出祝福，用歌声表达心声，也记录属于家与国的不平凡的2020。转发祝福我们的祖国！#这很中国#  人民日报的微博视频  ,10/1/2020,255491,6464398,14025,36.23029584,对家国#SPLIT#歌声唱出#SPLIT#温暖上线#SPLIT#属于小国#SPLIT#唱出祝福
JdNTCDgXB,今天，中国人民解放军建军93周年。#八一建军节#，谢谢你，守护我们的人民子弟兵！#领航强军新时代#  原图 ,8/1/2020,516381,8635709,49110,38.75147501,中国人民解放军建军#SPLIT#强军新时代#SPLIT#领航强军#SPLIT#人民子弟兵#SPLIT#守护人民
JcO44qxU1,【#警方公布失踪遇害女子丈夫被抓捕视频#】警方通报，#杭州女子失踪案是有预谋的故意杀人案#。女子丈夫许某某初步交代，其因家庭生活矛盾对来某某产生不满，于 7月5日凌晨，在家中趁来某某熟睡之际将其杀害，分尸后分散抛弃。#失踪遇害女子丈夫被抓现场#↓↓人民日报的微博视频  ,7/25/2020,2399644,170143,75864,36.24488219,女子丈夫#SPLIT#失踪遇害#SPLIT#丈夫许某某#SPLIT#分尸分散#SPLIT#失踪案预谋
J8yEw2LgU,【锁定！今晚8点！#未来你好毕业晚会#，就在@人民日报】2020毕业季，我们许你一场盛大的典礼！@人民日报 联合微博、@电影频道融媒体中心 推出毕业歌2020云演唱会，众多歌手献上祝福，愿你乘风破浪，未来可期，毕业快乐！点击预约→网页链接 人民日报的微博直播 .  ,6/27/2020,1137129,1330142,230881,39.59729912,微博电影频道#SPLIT#愿乘风破浪#SPLIT#歌手献上#SPLIT#献上祝福#SPLIT#电影频道融
J0fKSet0r,【奔涌吧，后浪！这是#献给年轻一代的演讲#】近日，哔哩哔哩发布一段演讲视频，认可、赞美、寄语年轻一代：“那些抱怨一代不如一代的人，应该看看你们。一个国家最好看的风景，就是这个国家的年轻人。你们有幸遇见这样的时代，时代更有幸遇见这样的你们。”表达自我，拥抱世界，青年节将至，一起追梦青春！http://t.cn/A6Ax2DGp ,5/3/2020,1837774,185164,84828,36.36362479,有幸遇见#SPLIT#哔发布#SPLIT#哔哔#SPLIT#寄语年轻一代#SPLIT#年轻一代抱怨
ICGEpF0nV,【人民微评：盼真相大白】某上市公司高管被指性侵“养女”四年，令人骇然！那些摧折人心的细节是否属实？全社会有责任求证，执法机关更有责任调查。呵护未成年人是文明底线，更是法治底线。法律问题须在法治轨道内解决。事关重大，不容烟云缭绕，不容雾失楼台，盼真相大白！#人民日报评鲍毓明被查#  原图 ,4/10/2020,1264196,1072284,44756,36.973781,盼真相大白#SPLIT#不容烟云缭绕#SPLIT#不容雾#SPLIT#侵养女#SPLIT#失楼台
IBJqp96I8,#清明祭#【此刻，无论你在哪儿，一起转发，祭奠逝去的同胞】2020年4月4日，全国哀悼，10时起#全中国默哀三分钟#。此刻，防空警报正在鸣响，汽车、火车、舰船同时鸣笛。无论身在何处，请一起#哀悼抗击新冠疫情牺牲烈士和逝世同胞#。  原图 ,4/4/2020,902693,375666,52831,36.00533636,哀悼抗击#SPLIT#清明祭#SPLIT#火车舰船#SPLIT#烈士逝世#SPLIT#牺牲烈士
IBFuPrwSM,#清明祭# 【今天发条微博，为那些没能来得及的告别】今日，全国哀悼。此刻，一起缅怀，为逝去的同胞！#哀悼抗击新冠疫情牺牲烈士和逝世同胞#  原图 ,4/4/2020,1832680,9311315,193729,41.51871731,哀悼抗击#SPLIT#来得及告别#SPLIT#没能来得及#SPLIT#清明祭#SPLIT#烈士逝世
IxDCOwiwQ,【愿你被这个世界温柔以待】在这个特殊时刻的三八妇女节，向疫情中所有勇敢善良的女性们送出最美好的祝福：愿你被这个世界温柔以待 ，心中撷满爱。@李宇春 创作并演唱的《#给女孩#》节日定制音乐短片暖心发布，展示各行各业、不同年龄段女性，#晒晒最美的她# ，在这个特殊的春天里温暖而有力的守护，生动而明媚的微笑↓@女性之声 @警民携手同行 @健康中国 @微博小秘书  http://t.cn/A67Dmof4 ,3/8/2020,463688,6928363,24390,37.42757318,温柔以待#SPLIT#以待特殊#SPLIT#女性送出#SPLIT#心中撷#SPLIT#撷满
IuAeGbbRT,【等一个重逢！#最想对谁说保重#】向奋战在前线的全体“战士”、向坚守岗位为人民服务的“勇士”、向想见而不能见的亲人，向努力抗击疫情的所有人，说一声保重。等到春暖花开之际，见面一定热情相拥！#谢霆锋王俊凯萧敬腾保重#共同演唱：@TFBOYS-王俊凯 @锋味 @萧敬腾  人民日报的微博视频  ,2/17/2020,239129,2826958,18929,35.81984831,保重奋战#SPLIT#前线战士#SPLIT#勇士想见#SPLIT#坚守岗位人民#SPLIT#奋战前线
H6Zq5o3hX,【今天，请一起转发微博，共同祭奠死难同胞】1937年的今天，侵华日军攻陷南京。短短6周内，30多万中国军民惨遭杀戮，山河破碎，生灵涂炭……昭昭前事，惕惕后人！今天，南京大屠杀死难者国家#公祭日#，我们以国家的名义祭奠，不是为了延续仇恨，而是为了和平与正义长存。转发，愿逝者安息，和平永存！  [组图共9张] 原图 ,12/13/2018,256862,7456670,95312,39.25015094,侵华日军攻陷#SPLIT#公祭日#SPLIT#军民惨遭#SPLIT#名义祭奠#SPLIT#和平永存
GgdfidjFm,#汶川大地震10年# 生死不离，生生不息。十年了，你好吗？[汶川十年] 人民日报的秒拍视频  ,5/11/2018,897881,20797688,442666,43.20510901,汶川大地震#SPLIT#生死不离#SPLIT#人民日报拍#SPLIT#拍视频
FqTpVjNJX,【你好，#十九大#】今天，中国共产党第十九次全国代表大会召开。“人民对美好生活的向往，就是我们的奋斗目标。”这是对人民的深情表白，也是对中国未来的庄严承诺。不忘初心，继续前进。你好，十九大；加油，中国！  [组图共9张] 原图 ,10/18/2017,232706,5190470,38660,37.48498265,不忘初心#SPLIT#中国共产党全国代表大会#SPLIT#人民美好生活#SPLIT#全国代表大会召开#SPLIT#深情表白
IwiPSycgj,【Breaking：#孙杨遭禁赛8年# 】国际体育仲裁法庭（CAS）公布了“世界反兴奋剂机构（WADA）诉孙杨和国际泳联案听证会”的裁决书，孙杨被禁赛八年，即日起生效，孙杨也将无缘东京奥运会。#孙杨无缘东京奥运会#  原图 ,2/28/2020,2299253,86592,213107,37.09735344,孙杨无缘#SPLIT#即日起生效#SPLIT#反兴奋剂#SPLIT#听证会裁决书#SPLIT#国际泳联案
